DayBaiorizumNum,DayRizum,DayCycle,DayBaiorizumText,sub_Text
0,命,活動期,誕生の宿にあたるこの日は、運命の転換点となり、生死を分ける出来事も起きやすい。慎重に行動すべき日。,誕生の宿にあたるこの日は、運命の転換点と
1,栄,活動期,積極的に事を起こすのに良い日。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。,積極的に事を起こすのに良い日。金運も強く
2,衰,活動期,疲れや体調に注意。ただし、治療や投薬には良い日。期待が裏切られやすく、積極的な行動は控えるべき日。,疲れや体調に注意。ただし、治療や投薬には
3,安,活動期,平穏無事な日。心配事が残っても実害はなく、ほっとできる日。金運もあり、旅行や移転、建築にも良い日。,平穏無事な日。心配事が残っても実害はなく
4,危,活動期,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い日。,誤算が多く、注意力が散漫になりやすい。散
5,成,活動期,物事が成就する日。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い日。,物事が成就する日。思い立ったら即実行に移
6,壊,活動期,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い日。,何事も成就せず、契約は後の禍となる。病気
7,友,活動期,対人面では最高に良い日。訪問やパーティなど、人との交流が楽しい日。恋愛、結婚式、契約事にもツキあり。,対人面では最高に良い日。訪問やパーティな
8,親,活動期,対人関係が順調で、交友や結婚に良い日。翌日が「業」の日は吉だが、翌日が「胎」の場合は不安定。,対人関係が順調で、交友や結婚に良い日。翌
9,業,暗黒期間,この日の行動は人生に貴重な意味をもたらす。自主的に動けば何事も吉に。他動的に起こることはマイナスも。,この日の行動は人生に貴重な意味をもたらす
10,栄,暗黒期間,積極的に事を起こすのに良い日。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。,積極的に事を起こすのに良い日。金運も強く
11,衰,暗黒期間,疲れや体調に注意。ただし、治療や投薬には良い日。期待が裏切られやすく、積極的な行動は控えるべき日。,疲れや体調に注意。ただし、治療や投薬には
12,安,暗黒期間,平穏無事な日。心配事が残っても実害はなく、ほっとできる日。金運もあり、旅行や移転、建築にも良い日。,平穏無事な日。心配事が残っても実害はなく
13,危,暗黒期間,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い日。,誤算が多く、注意力が散漫になりやすい。散
14,成,暗黒期間,物事が成就する日。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い日。,物事が成就する日。思い立ったら即実行に移
15,壊,暗黒期間,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い日。,何事も成就せず、契約は後の禍となる。病気
16,友,転換期,対人面では最高に良い日。訪問やパーティなど、人との交流が楽しい日。恋愛、結婚式、契約事にもツキあり。,対人面では最高に良い日。訪問やパーティな
17,親,転換期,対人関係が順調で、交友や結婚に良い日。翌日が「業」の日は吉だが、翌日が「胎」の場合は不安定。,対人関係が順調で、交友や結婚に良い日。翌
18,胎,転換期,不安定な日。体調を崩しやすく、商売などの取引も凶となりやすい。控えめに、慎重に行動した方が良い日。,不安定な日。体調を崩しやすく、商売などの
19,栄,転換期,積極的に事を起こすのに良い日。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。,積極的に事を起こすのに良い日。金運も強く
20,衰,転換期,疲れや体調に注意。ただし、治療や投薬には良い日。期待が裏切られやすく、積極的な行動は控えるべき日。,疲れや体調に注意。ただし、治療や投薬には
21,安,転換期,平穏無事な日。心配事が残っても実害はなく、ほっとできる日。金運もあり、旅行や移転、建築にも良い日。,平穏無事な日。心配事が残っても実害はなく
22,危,転換期,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い日。,誤算が多く、注意力が散漫になりやすい。散
23,成,転換期,物事が成就する日。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い日。,物事が成就する日。思い立ったら即実行に移
24,壊,転換期,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い日。,何事も成就せず、契約は後の禍となる。病気
25,友,転換期,対人面では最高に良い日。訪問やパーティなど、人との交流が楽しい日。恋愛、結婚式、契約事にもツキあり。,対人面では最高に良い日。訪問やパーティな
26,親,転換期,対人関係が順調で、交友や結婚に良い日。翌日が「業」の日は吉だが、翌日が「胎」の場合は不安定。,対人関係が順調で、交友や結婚に良い日。翌
