MonthBaiorizumNum,MonthRizum,MonthBaiorizumText,sub_Text
0,命,誕生の宿にあたるこの月は、運命の転換点となり、生死を分ける出来事も起きやすい。慎重に行動すべき月。,誕生の宿にあたるこの月は、運命の転換点と
1,栄,積極的に事を起こすのに良い月。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。,積極的に事を起こすのに良い月。金運も強く
2,衰,疲れや体調に注意。ただし、治療や投薬には良い月。期待が裏切られやすく、積極的な行動は控えるべき月。,疲れや体調に注意。ただし、治療や投薬には
3,安,平穏無事な月。心配事が残っても実害はなく、ほっとできる月。金運もあり、旅行や移転、建築にも良い月。,平穏無事な月。心配事が残っても実害はなく
4,危,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い月。,誤算が多く、注意力が散漫になりやすい。散
5,成,物事が成就する月。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い月。,物事が成就する月。思い立ったら即実行に移
6,壊,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い月。,何事も成就せず、契約は後の禍となる。病気
7,友,対人面では最高に良い月。訪問やパーティなど、人との交流が楽しい月。恋愛、結婚式、契約事にもツキあり。,対人面では最高に良い月。訪問やパーティな
8,親,対人関係が順調で、交友や結婚に良い月。積極的に交流の場に出向けば交友関係の発展が期待できる。,対人関係が順調で、交友や結婚に良い月。積
9,業,この月の行動は人生に貴重な意味をもたらす。自主的に動けば何事も吉に。他動的に起こることはマイナスも。,この月の行動は人生に貴重な意味をもたらす
10,栄,積極的に事を起こすのに良い月。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。,積極的に事を起こすのに良い月。金運も強く
11,衰,疲れや体調に注意。ただし、治療や投薬には良い月。期待が裏切られやすく、積極的な行動は控えるべき月。,疲れや体調に注意。ただし、治療や投薬には
12,安,平穏無事な月。心配事が残っても実害はなく、ほっとできる月。金運もあり、旅行や移転、建築にも良い月。,平穏無事な月。心配事が残っても実害はなく
13,危,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い月。,誤算が多く、注意力が散漫になりやすい。散
14,成,物事が成就する月。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い月。,物事が成就する月。思い立ったら即実行に移
15,壊,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い月。,何事も成就せず、契約は後の禍となる。病気
16,友,対人面では最高に良い月。訪問やパーティなど、人との交流が楽しい月。恋愛、結婚式、契約事にもツキあり。,対人面では最高に良い月。訪問やパーティな
17,親,対人関係が順調で、交友や結婚に良い月。積極的に交流の場に出向けば交友関係の発展が期待できる。,対人関係が順調で、交友や結婚に良い月。積
18,胎,不安定な月。体調を崩しやすく、商売などの取引も凶となりやすい。控えめに、慎重に行動した方が良い月。,不安定な月。体調を崩しやすく、商売などの
19,栄,積極的に事を起こすのに良い月。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。,積極的に事を起こすのに良い月。金運も強く
20,衰,疲れや体調に注意。ただし、治療や投薬には良い月。期待が裏切られやすく、積極的な行動は控えるべき月。,疲れや体調に注意。ただし、治療や投薬には
21,安,平穏無事な月。心配事が残っても実害はなく、ほっとできる月。金運もあり、旅行や移転、建築にも良い月。,平穏無事な月。心配事が残っても実害はなく
22,危,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い月。,誤算が多く、注意力が散漫になりやすい。散
23,成,物事が成就する月。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い月。,物事が成就する月。思い立ったら即実行に移
24,壊,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い月。,何事も成就せず、契約は後の禍となる。病気
25,友,対人面では最高に良い月。訪問やパーティなど、人との交流が楽しい月。恋愛、結婚式、契約事にもツキあり。,対人面では最高に良い月。訪問やパーティな
26,親,対人関係が順調で、交友や結婚に良い月。積極的に交流の場に出向けば交友関係の発展が期待できる。,対人関係が順調で、交友や結婚に良い月。積
