YearBaiorizumNum,YearRizum,YearBaiorizumText
0,命,誕生の宿にあたるこの年は、運命の転換点となり、生死を分ける出来事も起きやすい。慎重に行動すべき年。
1,親,対人関係が順調で、交友や結婚に良い年。積極的に交流の場に出向けば交友関係の発展が期待できる。
2,友,対人面では最高に良い年。訪問やパーティなど、人との交流が楽しい年。恋愛、結婚式、契約事にもツキあり。
3,壊,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い年。
4,成,物事が成就する年。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い年。
5,危,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い年。
6,安,平穏無事な年。心配事が残っても実害はなく、ほっとできる年。金運もあり、旅行や移転、建築にも良い年。
7,衰,疲れや体調に注意。ただし、治療や投薬には良い年。期待が裏切られやすく、積極的な行動は控えるべき年。
8,栄,積極的に事を起こすのに良い年。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。
9,胎,不安定な年。体調を崩しやすく、商売などの取引も凶となりやすい。控えめに、慎重に行動した方が良い年。
10,親,対人関係が順調で、交友や結婚に良い年。積極的に交流の場に出向けば交友関係の発展が期待できる。
11,友,対人面では最高に良い年。訪問やパーティなど、人との交流が楽しい年。恋愛、結婚式、契約事にもツキあり。
12,壊,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い年。
13,成,物事が成就する年。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い年。
14,危,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い年。
15,安,平穏無事な年。心配事が残っても実害はなく、ほっとできる年。金運もあり、旅行や移転、建築にも良い年。
16,衰,疲れや体調に注意。ただし、治療や投薬には良い年。期待が裏切られやすく、積極的な行動は控えるべき年。
17,栄,積極的に事を起こすのに良い年。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。
18,業,この年の行動は人生に貴重な意味をもたらす。自主的に動けば何事も吉に。他動的に起こることはマイナスも。
19,親,対人関係が順調で、交友や結婚に良い年。積極的に交流の場に出向けば交友関係の発展が期待できる。
20,友,対人面では最高に良い年。訪問やパーティなど、人との交流が楽しい年。恋愛、結婚式、契約事にもツキあり。
21,壊,何事も成就せず、契約は後の禍となる。病気やケガ、事故にも注意。ただし、悪しき事を清算するには良い年。
22,成,物事が成就する年。思い立ったら即実行に移すと好結果につながる。契約、婚約、入居にも良い年。
23,危,誤算が多く、注意力が散漫になりやすい。散財やけがに注意。ただし、遊びや宴会、祭り、祝い事で人が集まることには良い年。
24,安,平穏無事な年。心配事が残っても実害はなく、ほっとできる年。金運もあり、旅行や移転、建築にも良い年。
25,衰,疲れや体調に注意。ただし、治療や投薬には良い年。期待が裏切られやすく、積極的な行動は控えるべき年。
26,栄,積極的に事を起こすのに良い年。金運も強く、取引、契約、売買にツキあり。名誉を得る暗示も。
